YEAR,WRKSTAT,MARITAL,AGEWED,CHILDS,AGE,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,FEMALE,RACE,INCOME,INCOME98,RELIG,FUND,ATTEND,RELITEN,PRAY,PRAYER,BIBLE,HAPPY,ALIKE1,ALIKE2,ALIKE3,ALIKE4,ALIKE5,ALIKE6,ALIKE7,ALIKE8,AGEWEDCR,HAPUNHAP,REALINC,WORDSUM
1972,1,5,NA,0,23,16,10,NA,3,0,NA,1,1,NA,NA,3,1,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,5,1,21,5,70,10,8,8,0,0,0,0,1,NA,NA,2,2,7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,2,1,20,4,48,12,8,8,1,0,0,1,1,NA,NA,1,2,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,1,1,24,0,27,17,16,12,3,3,1,1,1,NA,NA,5,NA,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,7,1,22,2,61,12,8,8,1,0,0,1,1,NA,NA,1,2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50763,NA
1972,1,5,NA,0,26,14,18,19,1,3,4,0,1,NA,NA,1,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43994,NA
1972,1,3,22,2,28,13,16,12,1,3,1,0,1,NA,NA,2,2,7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37226,NA
1972,1,5,NA,0,27,16,16,14,3,3,1,0,1,NA,NA,3,1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,2,5,NA,2,21,12,12,12,1,1,1,1,2,NA,NA,1,3,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707,NA
1972,1,1,19,4,30,12,10,7,1,0,0,1,2,NA,NA,1,3,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,7,1,25,1,30,13,12,NA,1,1,NA,1,2,NA,NA,1,3,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,1,1,17,5,56,6,NA,8,0,NA,0,0,2,NA,NA,1,3,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,1,1,21,1,54,9,5,5,0,0,0,0,2,NA,NA,1,3,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,1,3,18,2,49,8,NA,10,0,NA,0,1,2,NA,NA,1,3,7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,1,1,16,5,41,9,NA,3,0,NA,0,0,2,NA,NA,1,3,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,1,1,24,2,54,14,NA,0,1,NA,0,0,2,NA,NA,1,3,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,6,1,18,2,24,14,8,8,1,0,0,0,1,NA,NA,1,3,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,7,1,16,3,62,8,NA,8,0,NA,0,1,1,NA,NA,1,3,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,1,1,20,3,46,17,8,18,3,0,4,1,1,NA,NA,1,3,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43994,NA
1972,6,5,NA,0,21,14,12,16,1,1,3,1,1,NA,NA,1,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50763,NA
1972,1,1,26,2,57,12,NA,NA,1,NA,NA,0,1,NA,NA,1,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37226,NA
1972,1,1,18,2,58,11,8,12,1,0,2,0,1,NA,NA,1,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60915,NA
1972,1,1,19,0,21,13,3,11,1,0,0,0,1,NA,NA,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
1972,7,1,20,1,26,12,8,12,1,0,1,1,1,NA,NA,1,2,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18951,NA
1972,7,1,30,0,71,16,8,8,3,0,0,1,1,NA,NA,1,3,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,18,2,53,12,7,8,1,0,0,1,1,NA,NA,2,2,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,18,2,42,12,12,8,1,1,0,0,1,NA,NA,1,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,17,2,42,12,12,10,1,1,0,1,1,NA,NA,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,19,0,20,12,12,11,1,1,NA,0,1,NA,NA,1,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,1,1,16,2,23,9,8,11,0,0,0,0,1,NA,NA,1,3,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,1,1,21,2,26,6,6,6,0,0,0,0,1,NA,NA,1,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,2,1,22,1,25,14,NA,12,1,NA,1,1,1,NA,NA,1,2,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24366,NA
1972,4,5,NA,0,26,16,12,12,3,1,1,0,1,NA,NA,1,2,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30458,NA
1972,7,1,21,5,78,8,NA,12,0,NA,1,1,1,NA,NA,1,2,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707,NA
1972,3,1,18,1,21,12,4,12,1,0,1,0,1,NA,NA,1,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13537,NA
